Alcool;Acido_Malico;CTM;Alcanalidade_Cinzas;Maginesio;Fenois_Totais;Flavonoides;Fenois_Nao_Flavonoides;Proantocianidinas;Intensidade_Cor;Ton_Cor;OD280/OD315_Vinhos_Diluidos;Prolina;Alvo
1423;171;243;156;127;28;306;28;229;564;104;392;1065;0
132;178;214;112;100;265;276;26;128;438;105;34;1050;0
1316;236;267;186;101;28;324;3;281;568;103;317;1185;0
1437;195;25;168;113;385;349;24;218;78;86;345;1480;0
1324;259;287;21;118;28;269;39;182;432;104;293;735;0
142;176;245;152;112;327;339;34;197;675;105;285;1450;0
1439;187;245;146;96;25;252;3;198;525;102;358;1290;0
1406;215;261;176;121;26;251;31;125;505;106;358;1295;0
1483;164;217;14;97;28;298;29;198;52;108;285;1045;0
1386;135;227;16;98;298;315;22;185;722;101;355;1045;0
141;216;23;18;105;295;332;22;238;575;125;317;1510;0
1412;148;232;168;95;22;243;26;157;5;117;282;1280;0
1375;173;241;16;89;26;276;29;181;56;115;29;1320;0
1475;173;239;114;91;31;369;43;281;54;125;273;1150;0
1438;187;238;12;102;33;364;29;296;75;12;3;1547;0
1363;181;27;172;112;285;291;3;146;73;128;288;1310;0
143;192;272;20;120;28;314;33;197;62;107;265;1280;0
1383;157;262;20;115;295;34;4;172;66;113;257;1130;0
1419;159;248;165;108;33;393;32;186;87;123;282;1680;0
1364;31;256;152;116;27;303;17;166;51;96;336;845;0
1406;163;228;16;126;3;317;24;21;565;109;371;780;0
1293;38;265;186;102;241;241;25;198;45;103;352;770;0
1371;186;236;166;101;261;288;27;169;38;111;4;1035;0
1285;16;252;178;95;248;237;26;146;393;109;363;1015;0
135;181;261;20;96;253;261;28;166;352;112;382;845;0
1305;205;322;25;124;263;268;47;192;358;113;32;830;0
1339;177;262;161;93;285;294;34;145;48;92;322;1195;0
133;172;214;17;94;24;219;27;135;395;102;277;1285;0
1387;19;28;194;107;295;297;37;176;45;125;34;915;0
1402;168;221;16;96;265;233;26;198;47;104;359;1035;0
1373;15;27;225;101;3;325;29;238;57;119;271;1285;0
1358;166;236;191;106;286;319;22;195;69;109;288;1515;0
1368;183;236;172;104;242;269;42;197;384;123;287;990;0
1376;153;27;195;132;295;274;5;135;54;125;3;1235;0
1351;18;265;19;110;235;253;29;154;42;11;287;1095;0
1348;181;241;205;100;27;298;26;186;51;104;347;920;0
1328;164;284;155;110;26;268;34;136;46;109;278;880;0
1305;165;255;18;98;245;243;29;144;425;112;251;1105;0
1307;15;21;155;98;24;264;28;137;37;118;269;1020;0
1422;399;251;132;128;3;304;2;208;51;89;353;760;0
1356;171;231;162;117;315;329;34;234;613;95;338;795;0
1341;384;212;188;90;245;268;27;148;428;91;3;1035;0
1388;189;259;15;101;325;356;17;17;543;88;356;1095;0
1324;398;229;175;103;264;263;32;166;436;82;3;680;0
1305;177;21;17;107;3;3;28;203;504;88;335;885;0
1421;404;244;189;111;285;265;3;125;524;87;333;1080;0
1438;359;228;16;102;325;317;27;219;49;104;344;1065;0
139;168;212;16;101;31;339;21;214;61;91;333;985;0
141;202;24;188;103;275;292;32;238;62;107;275;1060;0
1394;173;227;174;108;288;354;32;208;89;112;31;1260;0
1305;173;204;124;92;272;327;17;291;72;112;291;1150;0
1383;165;26;172;94;245;299;22;229;56;124;337;1265;0
1382;175;242;14;111;388;374;32;187;705;101;326;1190;0
1377;19;268;171;115;3;279;39;168;63;113;293;1375;0
1374;167;225;164;118;26;29;21;162;585;92;32;1060;0
1356;173;246;205;116;296;278;2;245;625;98;303;1120;0
1422;17;23;163;118;32;3;26;203;638;94;331;970;0
1329;197;268;168;102;3;323;31;166;6;107;284;1270;0
1372;143;25;167;108;34;367;19;204;68;89;287;1285;0
1237;94;136;106;88;198;57;28;42;195;105;182;520;1
1233;11;228;16;101;205;109;63;41;327;125;167;680;1
1264;136;202;168;100;202;141;53;62;575;98;159;450;1
1367;125;192;18;94;21;179;32;73;38;123;246;630;1
1237;113;216;19;87;35;31;19;187;445;122;287;420;1
1217;145;253;19;104;189;175;45;103;295;145;223;355;1
1237;121;256;181;98;242;265;37;208;46;119;23;678;1
1311;101;17;15;78;298;318;26;228;53;112;318;502;1
1237;117;192;196;78;211;2;27;104;468;112;348;510;1
1334;94;236;17;110;253;13;55;42;317;102;193;750;1
1221;119;175;168;151;185;128;14;25;285;128;307;718;1
1229;161;221;204;103;11;102;37;146;305;906;182;870;1
1386;151;267;25;86;295;286;21;187;338;136;316;410;1
1349;166;224;24;87;188;184;27;103;374;98;278;472;1
1299;167;26;30;139;33;289;21;196;335;131;35;985;1
1196;109;23;21;101;338;214;13;165;321;99;313;886;1
1166;188;192;16;97;161;157;34;115;38;123;214;428;1
1303;9;171;16;86;195;203;24;146;46;119;248;392;1
1184;289;223;18;112;172;132;43;95;265;96;252;500;1
1233;99;195;148;136;19;185;35;276;34;106;231;750;1
127;387;24;23;101;283;255;43;195;257;119;313;463;1
12;92;2;19;86;242;226;3;143;25;138;312;278;1
1272;181;22;188;86;22;253;26;177;39;116;314;714;1
1208;113;251;24;78;2;158;4;14;22;131;272;630;1
1305;386;232;225;85;165;159;61;162;48;84;201;515;1
1184;89;258;18;94;22;221;22;235;305;79;308;520;1
1267;98;224;18;99;22;194;3;146;262;123;316;450;1
1216;161;231;228;90;178;169;43;156;245;133;226;495;1
1165;167;262;26;88;192;161;4;134;26;136;321;562;1
1164;206;246;216;84;195;169;48;135;28;1;275;680;1
1208;133;23;236;70;22;159;42;138;174;107;321;625;1
1208;183;232;185;81;16;15;52;164;24;108;227;480;1
12;151;242;22;86;145;125;5;163;36;105;265;450;1
1269;153;226;207;80;138;146;58;162;305;96;206;495;1
1229;283;222;18;88;245;225;25;199;215;115;33;290;1
1162;199;228;18;98;302;226;17;135;325;116;296;345;1
1247;152;22;19;162;25;227;32;328;26;116;263;937;1
1181;212;274;215;134;16;99;14;156;25;95;226;625;1
1229;141;198;16;85;255;25;29;177;29;123;274;428;1
1237;107;21;185;88;352;375;24;195;45;104;277;660;1
1229;317;221;18;88;285;299;45;281;23;142;283;406;1
1208;208;17;175;97;223;217;26;14;33;127;296;710;1
126;134;19;185;88;145;136;29;135;245;104;277;562;1
1234;245;246;21;98;256;211;34;131;28;8;338;438;1
1182;172;188;195;86;25;164;37;142;206;94;244;415;1
1251;173;198;205;85;22;192;32;148;294;104;357;672;1
1242;255;227;22;90;168;184;66;142;27;86;33;315;1
1225;173;212;19;80;165;203;37;163;34;1;317;510;1
1272;175;228;225;84;138;176;48;163;33;88;242;488;1
1222;129;194;19;92;236;204;39;208;27;86;302;312;1
1161;135;27;20;94;274;292;29;249;265;96;326;680;1
1146;374;182;195;107;318;258;24;358;29;75;281;562;1
1252;243;217;21;88;255;227;26;122;2;9;278;325;1
1176;268;292;20;103;175;203;6;105;38;123;25;607;1
1141;74;25;21;88;248;201;42;144;308;11;231;434;1
1208;139;25;225;84;256;229;43;104;29;93;319;385;1
1103;151;22;215;85;246;217;52;201;19;171;287;407;1
1182;147;199;208;86;198;16;3;153;195;95;333;495;1
1242;161;219;225;108;2;209;34;161;206;106;296;345;1
1277;343;198;16;80;163;125;43;83;34;7;212;372;1
12;343;2;19;87;2;164;37;187;128;93;305;564;1
1145;24;242;20;96;29;279;32;183;325;8;339;625;1
1156;205;323;285;119;318;508;47;187;6;93;369;465;1
1242;443;273;265;102;22;213;43;171;208;92;312;365;1
1305;58;213;215;86;262;265;3;201;26;73;31;380;1
1187;431;239;21;82;286;303;21;291;28;75;364;380;1
1207;216;217;21;85;26;265;37;135;276;86;328;378;1
1243;153;229;215;86;274;315;39;177;394;69;284;352;1
1179;213;278;285;92;213;224;58;176;3;97;244;466;1
1237;163;23;245;88;222;245;4;19;212;89;278;342;1
1204;43;238;22;80;21;175;42;135;26;79;257;580;1
1286;135;232;18;122;151;125;21;94;41;76;129;630;2
1288;299;24;20;104;13;122;24;83;54;74;142;530;2
1281;231;24;24;98;115;109;27;83;57;66;136;560;2
127;355;236;215;106;17;12;17;84;5;78;129;600;2
1251;124;225;175;85;2;58;6;125;545;75;151;650;2
126;246;22;185;94;162;66;63;94;71;73;158;695;2
1225;472;254;21;89;138;47;53;8;385;75;127;720;2
1253;551;264;25;96;179;6;63;11;5;82;169;515;2
1349;359;219;195;88;162;48;58;88;57;81;182;580;2
1284;296;261;24;101;232;6;53;81;492;89;215;590;2
1293;281;27;21;96;154;5;53;75;46;77;231;600;2
1336;256;235;20;89;14;5;37;64;56;7;247;780;2
1352;317;272;235;97;155;52;5;55;435;89;206;520;2
1362;495;235;20;92;2;8;47;102;44;91;205;550;2
1225;388;22;185;112;138;78;29;114;821;65;2;855;2
1316;357;215;21;102;15;55;43;13;4;6;168;830;2
1388;504;223;20;80;98;34;4;68;49;58;133;415;2
1287;461;248;215;86;17;65;47;86;765;54;186;625;2
1332;324;238;215;92;193;76;45;125;842;55;162;650;2
1308;39;236;215;113;141;139;34;114;94;57;133;550;2
135;312;262;24;123;14;157;22;125;86;59;13;500;2
1279;267;248;22;112;148;136;24;126;108;48;147;480;2
1311;19;275;255;116;22;128;26;156;71;61;133;425;2
1323;33;228;185;98;18;83;61;187;1052;56;151;675;2
1258;129;21;20;103;148;58;53;14;76;58;155;640;2
1317;519;232;22;93;174;63;61;155;79;6;148;725;2
1384;412;238;195;89;18;83;48;156;901;57;164;480;2
1245;303;264;27;97;19;58;63;114;75;67;173;880;2
1434;168;27;25;98;28;131;53;27;13;57;196;660;2
1348;167;264;225;89;26;11;52;229;1175;57;178;620;2
1236;383;238;21;88;23;92;5;104;765;56;158;520;2
1369;326;254;20;107;183;56;5;8;588;96;182;680;2
1285;327;258;22;106;165;6;6;96;558;87;211;570;2
1296;345;235;185;106;139;7;4;94;528;68;175;675;2
1378;276;23;22;90;135;68;41;103;958;7;168;615;2
1373;436;226;225;88;128;47;52;115;662;78;175;520;2
1345;37;26;23;111;17;92;43;146;1068;85;156;695;2
1282;337;23;195;88;148;66;4;97;1026;72;175;685;2
1358;258;269;245;105;155;84;39;154;866;74;18;750;2
134;46;286;25;112;198;96;27;111;85;67;192;630;2
122;303;232;19;96;125;49;4;73;55;66;183;510;2
1277;239;228;195;86;139;51;48;64;9899999;57;163;470;2
1416;251;248;20;91;168;7;44;124;97;62;171;660;2
1371;565;245;205;95;168;61;52;106;77;64;174;740;2
134;391;248;23;102;18;75;43;141;73;7;156;750;2
1327;428;226;20;120;159;69;43;135;102;59;156;835;2
1317;259;237;20;120;165;68;53;146;93;6;162;840;2
1413;41;274;245;96;205;76;56;135;92;61;16;560;2
